region,x,y
Luhansk,408.0,38.0
Donetsk,343.0,-39.0
Zaporizhzhia,238.0,-104.0
Kherson,130.0,-147.0
Crimea,154.0,-260.0
Kharkiv,281.0,84.0
Dnipropetrovsk,187.0,-6.0
Mykolaiv,35.0,-99.0
Odessa,-63.0,-106.0
Sumy,145.0,206.0
Poltava,129.0,99.0
Kirovohrad,47.0,-5.0
Mykolaiv,34.0,-97.0
Chernihiv,29.0,235.0
Kiev,-43.0,154.0
Cherkasy,-1.0,58.0
Vinnytsia,-146.0,28.0
Zhytomyr,-162.0,182.0
Khmelnytskyi,-269.0,80.0
Rivne,-264.0,216.0
Volyn,-358.0,231.0
Ternopil,-322.0,79.0
Lviv,-411.0,104.0
Chernivtsi,-302.0,-22.0
Ivano-Frankivsk,-365.0,19.0
Zakarpattia,-457.0,-3.0